Data,Tipo de movimentação,Valor
2025-04-23,Ajuste nos rendimentos,-3.99
2025-04-23,Rendimentos,3.99
2025-04-24,Rendimentos,3.99
2025-04-25,Rendimentos,4.04
2025-04-28,Rendimentos,4.04
2025-04-29,Rendimentos,4.02
2025-04-30,Rendimentos,4.04
2025-05-02,Rendimentos,4.06
2025-05-05,Rendimentos,8.88
2025-05-06,Rendimentos,4.08
2025-05-07,Rendimentos,4.11
2025-05-08,Rendimentos,4.09
